feedback_text,sentiment
No special announcements from the authorities #125,Neutral
We are using traditional farming methods this time #620,Neutral
We are using the same resources as last year #291,Neutral
The harvest festival went well with record outputs #765,Positive
Government schemes are not reaching us on time #129,Negative
We are unable to access good quality seeds #886,Negative
There’s no help during pest infestations #117,Negative
Pests destroyed most of our harvest this year #103,Negative
Communication among farmers has been normal #848,Neutral
We are using last year’s strategies for this crop #331,Neutral
Crop insurance hasn't been processed yet #362,Negative
Livestock health has remained stable #317,Neutral
The new seeds failed to germinate properly #408,Negative
The soil seems to be holding moisture well #530,Neutral
We have enough resources for the next planting cycle #344,Positive
Heavy rains washed away the seeds after sowing #106,Negative
No significant change in government policies #593,Neutral
The support from the agriculture department was very helpful #558,Positive
Storage facilities are in very poor condition #476,Negative
There is an ongoing discussion about crop rotation #704,Neutral
The app for fertilizer tracking is working well #595,Positive
The new seeds failed to germinate properly #558,Negative
Our soil health has improved thanks to expert advice #412,Positive
Heavy rains washed away the seeds after sowing #56,Negative
The market has usual crowd this season #474,Neutral
The weather updates helped us avoid major damage #109,Positive
The situation is manageable at the moment #26,Neutral
The fields have been plowed and are ready for sowing #707,Neutral
The co-operative model has brought more unity in farming #319,Positive
The pest situation is currently under observation #719,Neutral
Rainfall was consistent and well-timed #841,Positive
Local authorities visited the farm to inspect progress #958,Neutral
We didn’t receive the fertilizer on time #352,Negative
The situation is manageable at the moment #826,Neutral
Livestock health has remained stable #367,Neutral
The pest outbreak this season was uncontrollable #883,Negative
Government officials were responsive and helpful #681,Positive
The new loan program was processed efficiently #730,Positive
Our farm-to-market transport has improved greatly #790,Positive
Transport issues led to rotting of fresh produce #814,Negative
Our complaints on the portal go unanswered #346,Negative
We are not getting enough returns to repay our loans #869,Negative
We are using traditional farming methods this time #70,Neutral
The online portal made seed ordering very easy #433,Positive
The harvest festival went well with record outputs #565,Positive
"Government promised help, but nothing arrived #749",Negative
We are losing hope due to consistent crop failure #777,Negative
I'm confident we'll have a great season ahead #71,Positive
We don't have access to reliable weather updates #789,Negative
Middlemen are taking away most of the profits #230,Negative
The pesticides provided were ineffective #513,Negative
I'm happy with how the new organic methods are working #57,Positive
We didn’t receive the fertilizer on time #602,Negative
We received all the fertilizers on time this season #652,Positive
We are monitoring crop health regularly #177,Neutral
The early sowing advice helped avoid pests #898,Positive
The soil testing facility helped us choose the right fertilizer #786,Positive
We are seeing better profits than last season #310,Positive
Farmers attended a local meeting on agriculture trends #405,Neutral
Local authorities are not responding to complaints #742,Negative
The support from the agriculture department was very helpful #908,Positive
The new irrigation system is saving us a lot of water #603,Positive
Government schemes are not reaching us on time #179,Negative
Communication among farmers has been normal #298,Neutral
Our complaints on the portal go unanswered #746,Negative
Crop insurance hasn't been processed yet #162,Negative
We’re unable to sell our produce at a fair price #510,Negative
There are no major updates from the cooperative #96,Neutral
Local vendors are exploiting us by offering low prices #578,Negative
The scheme implementation was smooth and timely #573,Positive
The awareness program helped us use pesticides more effectively #555,Positive
Crop diversity is giving us more market options #946,Positive
All tools and machines are working as expected #997,Neutral
The farm produce was sold out quickly this week #875,Positive
Meetings are being held as usual #995,Neutral
The soil quality has degraded over the years #570,Negative
The pest situation is currently under observation #669,Neutral
We haven't made any changes in farming technique #628,Neutral
There was no proper guidance from the agriculture department #554,Negative
I'm confident we'll have a great season ahead #121,Positive
We completed the harvesting process last week #660,Neutral
We are seeing better profits than last season #810,Positive
We haven't faced any new challenges so far #187,Neutral
We are not getting enough returns to repay our loans #619,Negative
I'm satisfied with the quality of seeds provided #314,Positive
The pesticides provided were ineffective #563,Negative
Our livestock is healthier with the new fodder program #234,Positive
The support from the agriculture department was very helpful #508,Positive
There are no proper roads to transport our produce #337,Negative
We are unable to access good quality seeds #386,Negative
Our soil health has improved thanks to expert advice #112,Positive
Government schemes are not reaching us on time #579,Negative
The training on crop rotation has boosted our yield #411,Positive
The co-operative model has brought more unity in farming #219,Positive
Farmers are planning the next crop cycle #115,Neutral
The new seeds failed to germinate properly #308,Negative
We’re burdened by increasing input costs #81,Negative
We are seeing better profits than last season #760,Positive
Our soil health has improved thanks to expert advice #912,Positive
The support from the agriculture department was very helpful #808,Positive
Our farm-to-market transport has improved greatly #440,Positive
The app for fertilizer tracking is working well #545,Positive
The soil testing facility helped us choose the right fertilizer #486,Positive
The situation is manageable at the moment #476,Neutral
The new tractor loan has helped speed up fieldwork #388,Positive
Livestock health has remained stable #917,Neutral
The electricity bills are too high for farming operations #193,Negative
We’re burdened by increasing input costs #231,Negative
The weather updates were inaccurate and misleading #211,Negative
Loan disbursement is delayed every season #274,Negative
No one came for the soil testing we requested #940,Negative
There is an ongoing discussion about crop rotation #304,Neutral
Government officials were responsive and helpful #931,Positive
The soil testing facility helped us choose the right fertilizer #136,Positive
We’re burdened by increasing input costs #781,Negative
No major incidents have been reported this season #168,Neutral
We had to sell our produce at throwaway prices #498,Negative
The fields have been plowed and are ready for sowing #257,Neutral
I'm grateful for the timely distribution of subsidies #367,Positive
No special announcements from the authorities #25,Neutral
Communication among farmers has been normal #898,Neutral
The new loan program was processed efficiently #30,Positive
The seeds were distributed in the village yesterday #502,Neutral
The pest situation is currently under observation #969,Neutral
We had to sell our produce at throwaway prices #48,Negative
Irrigation has been functioning as expected #888,Neutral
We didn't receive any training this year #422,Negative
We don't have access to reliable weather updates #489,Negative
Our livestock is healthier with the new fodder program #184,Positive
The irrigation canal has been dry for months #135,Negative
The mobile alerts are useful for daily farming tips #189,Positive
I'm confident we'll have a great season ahead #421,Positive
I'm confident we'll have a great season ahead #171,Positive
Local vendors are exploiting us by offering low prices #378,Negative
The training on crop rotation has boosted our yield #461,Positive
We have enough resources for the next planting cycle #44,Positive
The new tractor loan has helped speed up fieldwork #88,Positive
The mobile app for services is not working properly #323,Negative
The insurance claim was rejected unfairly #741,Negative
The local market prices are favorable this time #706,Positive
Our crop yield has significantly increased this year #904,Positive
The online portal made seed ordering very easy #283,Positive
Most farmers are preparing for the next sowing season #459,Neutral
We have enough resources for the next planting cycle #694,Positive
The farm produce looks standard this season #90,Neutral
Livestock health has remained stable #67,Neutral
The support from the agriculture department was very helpful #258,Positive
Meetings are being held as usual #645,Neutral
Meetings are being held as usual #595,Neutral
No significant change in government policies #443,Neutral
There is steady demand in the local market #884,Neutral
There’s no help during pest infestations #217,Negative
Local authorities are not responding to complaints #42,Negative
There is an ongoing discussion about crop rotation #454,Neutral
Our field demos were well received by other farmers #150,Positive
There are no proper roads to transport our produce #737,Negative
Most farmers are preparing for the next sowing season #359,Neutral
No significant change in government policies #393,Neutral
Everything appears to be under control for now #442,Neutral
The rainfall has been average compared to last year #113,Neutral
No major incidents have been reported this season #418,Neutral
We’ve had a bumper harvest of rice this season #135,Positive
We are using last year’s strategies for this crop #931,Neutral
Timely crop insurance saved us a big loss #832,Positive
The drought has severely affected our crop yield #801,Negative
The soil seems to be holding moisture well #930,Neutral
There is routine inspection happening this week #989,Neutral
"Government promised help, but nothing arrived #899",Negative
The harvest festival went well with record outputs #865,Positive
Our sugarcane output is at an all-time high #529,Positive
We are using traditional farming methods this time #220,Neutral
Government officials were responsive and helpful #431,Positive
We’re maintaining our usual schedule for sowing #744,Neutral
Fodder for livestock is not available this year #745,Negative
The training on crop rotation has boosted our yield #611,Positive
Our field demos were well received by other farmers #950,Positive
There's talk about trying a new seed variety next year #812,Neutral
Weather conditions have been perfect for sowing #222,Positive
Fertilizer prices have increased drastically #916,Negative
There's talk about trying a new seed variety next year #412,Neutral
There are no proper roads to transport our produce #37,Negative
There are no major updates from the cooperative #646,Neutral
The online portal made seed ordering very easy #933,Positive
We are observing the growth phase of our crops #556,Neutral
I'm impressed by the new farming techniques we learned #174,Positive
The solar-powered pumps are very efficient #566,Positive
The weather updates were inaccurate and misleading #961,Negative
The government scheme really benefited our village #813,Positive
Irrigation has been functioning as expected #688,Neutral
The weather updates helped us avoid major damage #959,Positive
All the farmers in our area are happy this year #528,Positive
Transport issues led to rotting of fresh produce #414,Negative
Crop insurance hasn't been processed yet #612,Negative
The scheme implementation was smooth and timely #273,Positive
We are finally seeing the benefits of switching to organic #927,Positive
No one came for the soil testing we requested #740,Negative
The early sowing advice helped avoid pests #848,Positive
The new irrigation system is saving us a lot of water #953,Positive
There was a power cut during crucial irrigation hours #621,Negative
There are no current issues in the supply chain #1000,Neutral
The loan paperwork is under process #316,Neutral
The pesticides provided were ineffective #913,Negative
We’re maintaining our usual schedule for sowing #594,Neutral
Farming operations are progressing steadily #32,Neutral
The drought has severely affected our crop yield #101,Negative
The electricity bills are too high for farming operations #293,Negative
The situation is manageable at the moment #876,Neutral
The co-operative model has brought more unity in farming #169,Positive
We are monitoring crop health regularly #377,Neutral
Our requests to the local officer went unheard #468,Negative
Livestock health has remained stable #767,Neutral
"Government promised help, but nothing arrived #399",Negative
Government schemes are not reaching us on time #229,Negative
The crops are growing at a normal pace #235,Neutral
We don't have access to reliable weather updates #739,Negative
We had no pest issues this time thanks to early intervention #368,Positive
The situation is manageable at the moment #276,Neutral
We had no pest issues this time thanks to early intervention #868,Positive
Pests destroyed most of our harvest this year #303,Negative
We received all the fertilizers on time this season #352,Positive
Meetings are being held as usual #395,Neutral
There is an ongoing discussion about crop rotation #504,Neutral
The new loan program was processed efficiently #980,Positive
We had to sell our produce at throwaway prices #848,Negative
The water supply is consistent but not excessive #371,Neutral
The organic fair gave us great exposure #499,Positive
Government schemes are not reaching us on time #629,Negative
The training on crop rotation has boosted our yield #211,Positive
The water supply is consistent but not excessive #471,Neutral
We received all the fertilizers on time this season #602,Positive
All the farmers in our area are happy this year #228,Positive
The solar-powered pumps are very efficient #366,Positive
Timely crop insurance saved us a big loss #582,Positive
We are observing the growth phase of our crops #856,Neutral
There is average participation in training events #179,Neutral
The pest situation is currently under observation #19,Neutral
We are seeing better profits than last season #860,Positive
The support from the agriculture department was very helpful #408,Positive
There was a power cut during crucial irrigation hours #921,Negative
Transport issues led to rotting of fresh produce #614,Negative
Our sugarcane output is at an all-time high #679,Positive
We are facing water scarcity in our village #265,Negative
Local authorities visited the farm to inspect progress #408,Neutral
The canal water system is functioning well now #692,Positive
The support from the agriculture department was very helpful #8,Positive
No major incidents have been reported this season #868,Neutral
The market prices are too low to make a profit #205,Negative
There is steady demand in the local market #234,Neutral
The solar-powered pumps are very efficient #416,Positive
I'm confident we'll have a great season ahead #671,Positive
The training on crop rotation has boosted our yield #811,Positive
No one came for the soil testing we requested #90,Negative
Our field demos were well received by other farmers #200,Positive
Our livestock is healthier with the new fodder program #284,Positive
Timely crop insurance saved us a big loss #232,Positive
We are using last year’s strategies for this crop #731,Neutral
There's talk about trying a new seed variety next year #862,Neutral
Our training on composting was very effective #97,Positive
Unseasonal rains have caused major crop losses #588,Negative
We are using traditional farming methods this time #570,Neutral
We are struggling due to lack of proper irrigation #607,Negative
We are finally seeing the benefits of switching to organic #677,Positive
The weather updates were inaccurate and misleading #861,Negative
Farming operations are progressing steadily #782,Neutral
We’re waiting for the market rates to stabilize #864,Neutral
Irrigation has been functioning as expected #588,Neutral
We’re facing huge losses this season again #400,Negative
There was a power cut during crucial irrigation hours #371,Negative
The awareness program helped us use pesticides more effectively #105,Positive
Irrigation has been functioning as expected #88,Neutral
Our field demos were well received by other farmers #600,Positive
We are struggling due to lack of proper irrigation #757,Negative
Loan disbursement is delayed every season #324,Negative
Access to expert advice has made a big difference #643,Positive
The timely rain and improved seeds gave us a great harvest #701,Positive
We are finally seeing the benefits of switching to organic #227,Positive
We had to sell our produce at throwaway prices #698,Negative
The weather updates were inaccurate and misleading #11,Negative
The mobile app for services is not working properly #573,Negative
We are finally seeing the benefits of switching to organic #777,Positive
We’re burdened by increasing input costs #731,Negative
We are monitoring crop health regularly #827,Neutral
There is average participation in training events #229,Neutral
Meetings are being held as usual #795,Neutral
The harvest festival went well with record outputs #465,Positive
The seeds were distributed in the village yesterday #652,Neutral
We are facing labor shortages during peak season #94,Negative
We didn't receive any training this year #272,Negative
The market has usual crowd this season #924,Neutral
We’re burdened by increasing input costs #581,Negative
The new seeds failed to germinate properly #208,Negative
The government scheme really benefited our village #213,Positive
The government scheme really benefited our village #13,Positive
The fertilizer shop is functioning normally #973,Neutral
The scheme implementation was smooth and timely #423,Positive
We don't have access to reliable weather updates #689,Negative
Middlemen are taking away most of the profits #780,Negative
The farm produce looks standard this season #640,Neutral
We are using traditional farming methods this time #320,Neutral
The new tractor loan has helped speed up fieldwork #638,Positive
Government schemes are not reaching us on time #279,Negative
The insurance claim was rejected unfairly #641,Negative
We are seeing better profits than last season #510,Positive
The early sowing advice helped avoid pests #598,Positive
The rainfall has been average compared to last year #713,Neutral
The crops are growing at a normal pace #635,Neutral
Farmers are planning the next crop cycle #365,Neutral
We’re maintaining our usual schedule for sowing #644,Neutral
The co-operative model has brought more unity in farming #519,Positive
We’re maintaining our usual schedule for sowing #794,Neutral
I'm impressed by the new farming techniques we learned #574,Positive
The situation is manageable at the moment #726,Neutral
We had to sell our produce at throwaway prices #98,Negative
We had to sell our produce at throwaway prices #948,Negative
"Government promised help, but nothing arrived #449",Negative
The irrigation canal has been dry for months #585,Negative
All tools and machines are working as expected #597,Neutral
The harvest festival went well with record outputs #965,Positive
We are not getting enough returns to repay our loans #19,Negative
Most farmers are preparing for the next sowing season #909,Neutral
The weather updates helped us avoid major damage #359,Positive
Farmer meetings helped us plan better for the season #737,Positive
The irrigation canal has been dry for months #785,Negative
There’s been a lot of delay in government support #609,Negative
We are seeing better profits than last season #260,Positive
Transport availability is normal this week #772,Neutral
No significant change in government policies #643,Neutral
No significant change in government policies #743,Neutral
There is steady demand in the local market #384,Neutral
Middlemen are taking away most of the profits #30,Negative
Most farmers are preparing for the next sowing season #409,Neutral
Our storage facility upgrade saved a lot of produce #970,Positive
We are using the same resources as last year #991,Neutral
Our storage facility upgrade saved a lot of produce #820,Positive
Livestock health has remained stable #717,Neutral
The situation is manageable at the moment #326,Neutral
I'm happy with how the new organic methods are working #457,Positive
The government scheme really benefited our village #463,Positive
Meetings are being held as usual #345,Neutral
There is routine inspection happening this week #689,Neutral
Timely crop insurance saved us a big loss #382,Positive
Local authorities are not responding to complaints #892,Negative
